Equation.ID,Name,Machine,Use.Equation?,Equation,Units,Limiting Parameter,Limit Type,Limiting Parameter Value,Old_Time Per Acre Conversions,Old_Equation,Old_Function,Comment,Default.Use.Equation?,RefNum
11,aulerich,Yarder,,1.210 + 0.009 * (One.way.Yarding.Distance) + 0.015 * (One.way.Yarding.Distance) + 0.253 * (treesRemoved),,,,,,"  1.210+0.009*(m$One.way.Yarding.Distance)+0.015*(
    m$One.way.Yarding.Distance)+0.253*(treesRemoved(m))",aulerichYard3,,,
12,behjou,Feller Buncher,,(-2.80 + (0.051 * (25.4 * dbh) + (0.039 * (distBetweenTrees/3.28084)))),,,,,,(-2.80+(0.051*(25.4*dbh(m)))+(0.039*(distBetweenTrees(m)/3.28084))),behjouFB,"CAUTION: This article is for Chainsaw felling, not feller-buncher; BUT, may have been used for large log trees in stands where feller-buncher was used for smaller trees?",,90
13,behjou,Chainsaw,,(-2.80 + (0.051 * (25.4 * dbh) + (0.039 * (distBetweenTrees/3.28084)))),min/tree,dbh.cm,>,40,"ifelse(dbh.cm(m)>40.00, ((treesRemoved(m)*behjouSaw(m))/60), NA)", -2.80+(0.051*(25.4*dbh(m)))+(0.039*(distBetweenTrees(m)/3.28084)),behjouSaw,,Y,90
14,bolding,Chip,Y,0.001*(totalVol*25),min/acre,,,,(boldingChip(m))/60,0.001*(totalVol(m)*25),boldingChip,This info is not found in REF 094,Y,150
15,bolding,Feller Buncher,,.1765521 + (0.003786057 * dbh + (4.936639 * Percent.Slope * (sqrt(treesRemoved)))),,,,,,".1765521+(0.003786057*dbh(m))+(4.936639*m$""Percent.Slope""*(sqrt(treesRemoved(m))))",boldingFB,,,95
16,bolding,Forwarder,,.1761 + (0.00357 * dbh+(4.93 * Percent.Slope * (sqrt(treesRemoved)))),m^3/PMH,Percent.Slope,<,0,"ifelse(m$""Percent.Slope""<0,  totalVolM(mslope)/boldingFor(m), NA)",".1761+(0.00357*dbh(m))+(4.93*m$""Percent.Slope""*(sqrt(treesRemoved(m))))",boldingFor,,Y,95
17,bolding,Harvester,,.1765521 + (0.003786057 * dbh + (4.936639 * Percent.Slope * (sqrt(treesRemoved)))),,,,,,".1765521+(0.003786057*dbh(m))+(4.936639*m$""Percent.Slope""*(sqrt(treesRemoved(m))))",boldingHar,,,95
18,bolding,Skidder,,.1761 + (0.00357 * dbh+(4.93 * Percent.Slope * (sqrt(treesRemoved)))),,,,,,".1761+(0.00357*dbh(m))+(4.93*m$""Percent.Slope""*(sqrt(treesRemoved(m))))",boldingSkid,,,95
19,curtis,Helicopter,,abs(23.755 + 2.7716 * treesRemoved - 0.63694 * One.way.Yarding.Distance),min/acre,dbh.cm,>,20,"ifelse(dbh.cm(m)>20, curtisHeli(m)/60, NA)","23.755 + 2.7716*treesRemoved(m)-0.63694*(m$""One.way.Yarding.Distance"")",curtisHeli,"added abs() - this was added later as part of the average time calculation under the heliTime equation, but this equation is the only helicopter one that yields negative values",Y,144
20,curtis,Yarder,,23.755 + (2.7716 * (1.5)) - (0.63694 * (One.way.Yarding.Distance)),logs/hour,One.way.Yarding.Distance,<,10,"ifelse(m$""One.way.Yarding.Distance""<10,treesRemoved(m)/curtisYarding(m),NA)","23.755 + (2.7716*(1.5))-(0.63694*(m$""One.way.Yarding.Distance""))",curtisYarding,,Y,144
21,curtis,Yarder,,11.138 + (7.1774*(1.5)) - (0.59976 * (One.way.Yarding.Distance)),logs/hour,One.way.Yarding.Distance,<,10,"ifelse(m$""One.way.Yarding.Distance""<10,treesRemoved(m)/curtisYarding2(m),NA)","11.138+(7.1774*(1.5))-(0.59976*(m$""One.way.Yarding.Distance""))",curtisYarding2,,Y,144
22,drews,Feller Buncher,,21.139 + 72.775 * totalVol,,,,,,21.139+72.775*(totalVol(m)),drewsFB,,,
23,drews,Harvester,,21.139 + 72.775 * totalVol,,,,,,21.139+72.775*(totalVol(m)),drewsHar,,,
24,dykstra,Feller Buncher,,2.39219 + 0.0019426 * Percent.Slope + One.way.Yarding.Distance + 0.030463 * treesRemoved,,,,,,"  2.39219+0.0019426*(m$""Percent.Slope"")+
    (m$""One.way.Yarding.Distance"")+0.030463*(treesRemoved(m))",dykstraFB,,,
25,dykstra,Forwarder,,2.39219 + 0.0019426 * Percent.Slope + One.way.Yarding.Distance + 0.030463 * treesRemoved,,,,,,"  2.39219+0.0019426*(m$""Percent.Slope"")+
    (m$""One.way.Yarding.Distance"")+0.030463*(treesRemoved(m))",dykstraFor,,,
26,dykstra,Helicopter,,1.3721152 + (0.0126924 * Percent.Slope) + (0.00246741 * One.way.Yarding.Distance) + (0.031200 * (3)) + (0.000060987*(totalVol/12)) - (0.000050837*(totalVol/36)),unknown2,twitchWeight,<,2900," ifelse((twitchWeight(m)<2900),
         (((((totalVol(m)/3)*(m$""Large.log.trees.per.acre""+m$""Small.log.trees.per.acre""))/190)*dykstraHeli(m))/60),
         NA)","  1.3721152+(0.0126924*m$""Percent.Slope"")+(0.00246741*m$""One.way.Yarding.Distance"")+
    (0.031200*(3))+(0.000060987*(totalVol(m)/12))-(0.000050837*(totalVol(m)/36))",dykstraHeli,,Y,146
27,dykstra,Yarder,,2.39219 + 0.0019426 * Percent.Slope + One.way.Yarding.Distance + 0.030463 * treesRemoved,,,,,,"  2.39219+0.0019426*(m$""Percent.Slope"")+
    (m$""One.way.Yarding.Distance"")+0.030463*(treesRemoved(m))",dykstraYarding,,,
28,fisher,Forwarder,,2.374 + (0.00841141 * One.way.Yarding.Distance + (0.72548570*1.35)),,,,,,"2.374+(0.00841141*(m$""One.way.Yarding.Distance""))+(0.72548570*(1.35))",fisherFor,,,
29,fisher,Skidder,,2.374 + (0.00841141 * One.way.Yarding.Distance + (0.72548570*1.35)),,,,,,"2.374+(0.00841141*(m$""One.way.Yarding.Distance""))+(0.72548570*(1.35))",fisherSkid,,,
30,fisher,Yarder,,2.374 + (0.00841141 * One.way.Yarding.Distance + (0.72548570*1.35)),Turn time minutes,,,,"((((m$""Small.log.trees.per.acre""+m$""Large.log.trees.per.acre"")/1.35)*fisherYarder(m))/120)","2.374+(0.00841141*(m$""One.way.Yarding.Distance""))+(0.72548570*(1.35))",fisherYarder,this gets raised to ^0.85 for some reason later on?,Y,147
31,flatten,Helicopter,,40.737274 + (0.0168951 * One.way.Yarding.Distance)+((totalWeight/12)*2.052894)+(22.658839),sec/acre,twitchWeight,<,2900,"ifelse((twitchWeight(m)<2900), flattenHeli(m)/3600, NA)","40.737274+(0.0168951*m$""One.way.Yarding.Distance"")+((totalWeight(m)/12)*2.052894)+(22.658839)",flattenHeli,in section 5.5.4.2; choker delivery is costed as happening with each turn-- correct?,Y,32
32,ghaf,Slide Boom Processor,,23.297/twitchVolM,min/acre,twitchVolM,<,3,"ifelse(twitchVolM(m)<3, ghafLoad(m)/60, NA)",23.297/twitchVolM(m),ghafLoad,,Y,37
33,ghaf,Chainsaw,,(-1.582+(0.099*dbh.cm)),unknown3,dbh.cm,>,25,"ifelse(dbh.cm(m)>25, ((ghafSaw(m)*treesRemoved(m))/180), NA)",(-1.582+(0.099*dbh.cm(m))),ghafSaw,not found in the article with the other eqns from this author,Y,??
34,ghaf,Skidder,,13.027 + (0.035 * (One.way.Yarding.Distance * 2))+(0.847 * (Percent.Slope))+(0.551 * (twitchVolM * 5)),unknown5,Percent.Slope,<,45,"ifelse(m$""Percent.Slope""<45, totalVolM(m)/(twitchVolM(m)*30)*ghafSkid(m)/60, NA)","13.027+(0.035*(m$""One.way.Yarding.Distance""*2))+(0.847*(m$""Percent.Slope""))+(0.551*(twitchVolM(m)*5))",ghafSkid,,Y,37
35,hansill,Chip,,2.32 + (-0.42 * 1.79)+(1.83 * dbh.cm),sec/chip,dbh.cm,<,76,"ifelse(dbh.cm(m)<76, ((chipTrees(m)*hansillChip(m))/60/60), NA)",2.32+(-0.42*1.79)+(1.83*dbh.cm(m)),hansillChip,,Y,
36,hansill,Chip,,2.4 + (-0.32 * 1.4)+(1.3 * dbh.cm),min/chip,dbh.cm,<,76,"ifelse(dbh.cm(m)<76, ((chipTrees(m)*hansillChip2(m))/60), NA)",2.4+(-0.32*1.4)+(1.3*dbh.cm(m)),hansillChip2,this gets raised to ^0.8 for some reason later on?,Y,
37,hartsough,Feller Buncher,,0.324 + 0.00138 * (dbh^2),min/tree,,,,(hartsoughFB(m)*treesRemoved(m))/60,0.324+0.00138*(dbh(m)^2),hartsoughFB,,Y,43
38,hartsough,Chainsaw,,0.1 + 0.0111 * (dbh^1.496),min/tree,,,,(hartsoughSaw(m)*treesRemoved(m))/60,0.1+0.0111*(dbh(m)^1.496),hartsoughSaw,,Y,43
39,hartsough,Slide Boom Processor,,0.141 + 0.0298 * dbh,unknown4,,,,hartsoughSlide(m)*30,  0.141+0.0298*dbh(m),hartsoughSlide,,Y,43
40,hiesl,Feller Buncher,,exp((-0.826+.309*(dbh))+0.386*sppgrp),,,,,,exp((-0.826+.309*(dbh(m)))+0.386*sppgrp(m)),hieslFB,,,45
41,hiesl,Skidder,,exp(1.754 * (-0.0005*One.way.Yarding.Distance)) + (0.755 * twitchVol),Cords/PMH,,,,cordsPerAcre(m)/hieslGrapCord(m),"exp(1.754*(-0.0005*m$""One.way.Yarding.Distance""))+(0.755*twitchVol(m))",hieslGrapCord,,Y,45
42,hiesl,HarvesterCord2,,exp((-0.826+.309 * (dbh)) + 0.386*sppgrp),Cords/PMH,,,,cordsPerAcre(m)/hieslHarCord2(m),exp((-0.826+.309*(dbh(m)))+0.386*sppgrp(m)),hieslHarCord2,,,45
43,iff,Forwarder,,1.054 + .00234 * One.way.Yarding.Distance + 0.01180 * 97 + 0.980 * treesRemoved + .00069 * totalWeight,,,,,,"  1.054+.00234*(m$One.way.Yarding.Distance)+0.01180*(97)+0.980*(
    treesRemoved(m))+.00069*(totalWeight(m))",iffFor,,,??
44,iff,Yarder,,1.054 + .00234 * One.way.Yarding.Distance + 0.01180 * 97 + 0.980 * treesRemoved + .00069 * totalWeight,,,,,,"  1.054+.00234*(m$One.way.Yarding.Distance)+0.01180*(97)+0.980*(
    treesRemoved(m))+.00069*(totalWeight(m))",iffYard,,,??
45,jen,Forwarder,,,,,,,,"8.33+(10.0111*(""TPA""))",jenFor,No TPA variable,,
46,jirousek,Forwarder,,abs(-7.6881 * log(One.way.Yarding.Distance * 0.3048) + 64.351),m^3/PMH,,,,totalVolM(m)/jirousekFor(m),"abs(-7.6881*log((m$""One.way.Yarding.Distance""*0.3048))+64.351)",jirousekFor,,Y,50
47,jirousek,Forwarder,,10.5193 * (One.way.Yarding.Distance^(24.9181/One.way.Yarding.Distance)),m^3/PMH,Percent.Slope,<,45,"ifelse(m$""Percent.Slope""<45, totalVolM(m)/jirousekFor2(m), NA)","10.5193*(m$""One.way.Yarding.Distance""^(24.9181/m$""One.way.Yarding.Distance""))",jirousekFor2,,Y,50
48,jirousek,Forwarder,,17.0068 * (One.way.Yarding.Distance^(13.2533/Percent.Slope)),m^3/PMH,Percent.Slope,<,45,"ifelse(m$""Percent.Slope""<45, totalVolM(m)/jirousekFor3(m), NA)"," 17.0068*(m$""One.way.Yarding.Distance""^(13.2533/m$""Percent.Slope""))",jirousekFor3,,Y,50
49,jirousek,Harvester,,60.711 * (twitchVolM^0.6545),m^3/PMH,twitchVolM,<,1.4,"ifelse(twitchVolM(m)<1.4, (totalVolM(m)/jirousekHar(m)), NA)",60.711*(twitchVolM(m)^0.6545),jirousekHar,,Y,50
50,karha,Feller Buncher,,0.422 + (0.1126 * (twitchVolM * 1000)),,,,,,0.422+(0.1126*(twitchVolM(m)*1000)),karhaFB,,,51
51,karha,Harvester,,0.288 + (0.1004 * (Percent.Slope/0.001)) + (-0.00008*(twitchVolM/0.001)^2),m^3/PMH,twitchVolM,<,0,"ifelse(twitchVolM(m)<.0, (totalVol(m)*0.0283168)/karhaHar(m), NA)","0.288+(0.1004*(m$""Percent.Slope""/0.001))+(-0.00008*(twitchVolM(m)/0.001)^2)",karhaHar,,Y,51
52,karha,Harvester,,0.181 * Percent.Slope + (0.1315 * (twitchVolM * 1000)),m^3/PMH,twitchVolM,<,40,"ifelse(twitchVolM(m)<40, (totalVolM(m))/karhaHar2(m), NA)","0.181*m$""Percent.Slope""+(0.1315*(twitchVolM(m)*1000))",karhaHar2,,,51
53,karha,Harvester,,0.422 + (0.1126 * (twitchVolM * 1000)),m^3/PMH,twitchVolM,<,40,"ifelse(twitchVolM(m)<40, (totalVolM(m))/karhaHar3(m), NA)",0.422+(0.1126*(twitchVolM(m)*1000)),karhaHar3,,,51
54,klepac,Harvester,,24.796 + 0.331419 * dbh ^ 2,sec/tree,,,,((klepacHar(m)*treesRemoved(m))/60)/60,24.796+0.331419*(dbh(m)^2),klepacHar,Assigned to two separate functions; TYPO relative to source,Y,54
55,klepac,Harvester,,abs((0.0076197 * One.way.Yarding.Distance - 0.6073183873)+(0.00735 * (distBetweenTrees * 4) + 0.5438016119) + (0.0121066 * One.way.Yarding.Distance - 1.651069636)),sec/tree,,,,((klepacHar(m)*treesRemoved(m))/60)/60,"  abs(
    (0.0076197*m$""One.way.Yarding.Distance""-0.6073183873)+
      (0.00735*(distBetweenTrees(m)*4)+0.5438016119)+
      (0.0121066*m$""One.way.Yarding.Distance""-1.651069636)
  )",klepacHar,,Y,55
56,klepac,Chainsaw,,24.796 + 0.331419 * (dbh^2),sec/tree,,,,,24.796+0.331419*(dbh(m)^2),klepacSaw,,,54
57,klepac,Skidder,,abs((0.0076197 * One.way.Yarding.Distance - 0.6073183873)+(0.00735 * (distBetweenTrees * 4) + 0.5438016119) + (0.0121066 * One.way.Yarding.Distance - 1.651069636)),,Percent.Slope,<,0,"ifelse(m$""Percent.Slope""<0, treesRemoved(m)/(klepacSkid(m)*15), NA)","  abs(
    (0.0076197*m$""One.way.Yarding.Distance""-0.6073183873)+
      (0.00735*(distBetweenTrees(m)*4)+0.5438016119)+
      (0.0121066*m$""One.way.Yarding.Distance""-1.651069636)
  )",klepacSkid,This equation is for predicting EMPTY travel time!,Y,55
58,kluender,Forwarder,,(0.017 * ((One.way.Yarding.Distance^(-0.574))) * 2) * (dbh.cm^2.002),,,,,,"(0.017*((m$""One.way.Yarding.Distance""^-0.574))*2)*(dbh.cm(m)^2.002)",kluenderFor,,,57
59,kluender,Chainsaw,,(0.016 * ((dbh * 2.54)^1.33)) * (distBetweenTrees^0.083)*(.5^0.196),min/tree,,,,(kluenderSaw(m)*treesRemoved(m))/60,"(0.016*((dbh(m)*2.54)^1.33))*
    (distBetweenTrees(m)^0.083)*(.5^0.196)",kluenderSaw,Is distance between trees in OC metric?,Y,57
60,kluender,Skidder,,(0.017 * ((One.way.Yarding.Distance^(-0.574))) * 2) * (dbh.cm^2.002),,Percent.Slope,<,45,"ifelse(m$""Percent.Slope""<45, kluenderSkid(m), NA)","(0.017*((m$""One.way.Yarding.Distance""^-0.574))*2)*(dbh.cm(m)^2.002)",kluenderSkid,,Y,57
61,spinelli,Chainsaw,,30.04 + 0.2*(dbh^2)+ 8.3,,,,,,30.04 + 0.2*((dbh(m))^2)+ 8.3,spinelliSaw,Same as adebayo,,??
62,stokes,Feller Buncher,,2.80 * (One.way.Yarding.Distance)^0.574,min/acre,Percent.Slope,<,45,"(ifelse(m$""Percent.Slope""<45, stokesFB(m)/60, NA))","2.80*(m$""One.way.Yarding.Distance"")^0.574",stokesFB,,Y,??
63,suchomel,Slide Boom Processor,,twitchVolM/19.8,,,,,suchomelSlide(m),twitchVolM(m)/19.8,suchomelSlide,,Y,148
64,tin,Forwarder,,.801-Percent.Slope,,,,,,".801-(""Percent.Slope"")",tinFor,,,??
65,tin,Skidder,,sqrt(3.3 * (7.3 + One.way.Yarding.Distance)),,,,,,"sqrt(3.3*(7.3+m$""One.way.Yarding.Distance""))",tinSkid,,,??
66,,Tethered,,((1.43*(twitchVol*.901)+(132.75))/60*278.95)+((0.05*(2*One.way.Yarding.Distance)+4.06*(.03*twitchVol)+2.19*twitchVol)/60*198.11),,,,,,,,,,149
67,,TetheredHarvester,Y,"ifelse(Percent.Slope < 40, 30, 40)",,Percent.Slope,<,90,,,,,,
68,,TetheredForwader,Y,"ifelse(Percent.Slope < 40, 10, 20)",,Percent.Slope,<,90,,,,,,
69,,TetheredChainsaw,Y,100,,,,,,,,,,
