fvs_variant,FOFEM,diam_class,mortality probability for Flame length 6 to 8,FOFEM Equation,DBH,HT,CRNRATIO,crnht,Latin name,,,
BM,ABGR,6,0.48,11,33.6,117.8,60.6,46,,,,
BM,ABGR,7,0.46,11,43.4,134.1,60.6,53,,,,
CA,ABGR,1,1.00,11,2.9,22.7,35.4,15,Abies grandis,,,
CA,ABGR,2,1.00,11,7.3,47.8,40.9,28,,,,
CA,ABGR,3,0.47,11,12.0,82.0,41.0,48,,,,
CA,ABGR,4,0.48,11,17.4,95.1,48.5,49,,,,
CA,ABGR,5,0.47,11,21.7,115.0,62.5,43,,,,
CA,ABGR,6,0.46,11,34.9,133.7,58.3,56,,,,
CA,ABGR,7,0.45,11,40.6,168.0,70.0,50,,,,
CI,ABGR,1,1.00,11,3,15.9,58,7,,,,
CI,ABGR,2,1.00,11,7,38.7,63,14,,,,
CI,ABGR,3,0.92,11,13,65.2,62,24,,,,
CI,ABGR,4,0.87,11,18,86.9,61,34,,,,
CI,ABGR,5,0.59,11,24,102.1,64,37,,,,
CI,ABGR,6,0.75,11,33,115.2,67,39,,,,
CI,ABGR,7,0.80,11,46,126.7,75,32,,,,
EC,ABGR,1,1.00,11,2.6,16.2,51.8,8,,,,
EC,ABGR,2,1.00,11,7.2,42.7,56.1,19,,,,
EC,ABGR,3,0.89,11,12.2,67.3,54.5,31,,,,
EC,ABGR,4,0.85,11,17.4,88.5,55.6,39,,,,
EC,ABGR,5,0.48,11,25.6,109.6,55.9,48,,,,
EC,ABGR,6,0.47,11,33.5,127.3,59.2,52,,,,
EC,ABGR,7,0.46,11,47.3,135.9,56.2,60,,,,
IE,ABGR,1,1.00,11,3,17.6,54,8,,,,
IE,ABGR,2,1.00,11,7,47.0,57,20,,,,
IE,ABGR,3,0.89,11,12,75.1,57,32,,,,
IE,ABGR,4,0.77,11,17,94.5,58,40,,,,
IE,ABGR,5,0.47,11,24,114.7,58,48,,,,
IE,ABGR,6,0.47,11,33,129.6,61,50,,,,
IE,ABGR,7,0.48,11,44,145.0,65,51,,,,
NC,ABGR,1,1.00,11,2.9,15.3,50.8,8,,,,
NC,ABGR,2,0.98,11,7.6,51.0,41.7,30,,,,
NC,ABGR,3,0.57,11,12.0,72.9,33.1,49,,,,
NC,ABGR,4,0.48,11,17.6,94.5,42.5,54,,,,
NC,ABGR,5,0.16,11,26.3,113.0,70.0,34,,,,
NC,ABGR,6,0.74,11,32.2,117.0,75.0,29,,,,
SO,ABGR,1,1.00,11,2.7,16.3,51.9,8,,,,
SO,ABGR,2,0.94,11,7.2,40.9,57.3,17,,,,
SO,ABGR,3,0.89,11,12.0,63.5,58.4,26,,,,
SO,ABGR,4,0.62,11,17.3,80.5,59.1,33,,,,
SO,ABGR,5,0.47,11,25.0,101.5,60.9,40,,,,
SO,ABGR,6,1.00,11,31.9,115.5,53.8,53,,,,
WC,ABGR,1,1.00,11,2.9,19.7,34.7,13,,,,
WC,ABGR,2,1.00,11,7.0,41.1,45.4,22,,,,
WC,ABGR,3,0.54,11,12.9,75.8,34.6,50,,,,
WC,ABGR,4,0.57,11,18.0,98.0,45.6,53,,,,
WC,ABGR,5,0.46,11,23.7,113.5,47.3,60,,,,
WC,ABGR,6,0.46,11,32.5,112.7,46.3,60,,,,
WC,ABGR,7,0.16,11,44.0,129.0,38.0,80,,,,
BM,ABLA,1,1.00,11,2.6,14.2,59.7,6,Abies lasiocarpa,,,
BM,ABLA,2,1.00,11,6.9,38.7,58.8,16,,,,
BM,ABLA,3,0.91,11,11.8,66.4,54.7,30,,,,
BM,ABLA,4,0.85,11,17.0,88.0,59.5,36,,,,
BM,ABLA,5,0.88,11,23.8,88.4,72.7,24,,,,
BM,ABLA,6,0.84,11,32.8,100.0,65.0,35,,,,
CI,ABLA,1,1.00,11,1,10.0,90,1,,,,
CI,ABLA,2,1.00,11,7,47.7,58,20,,,,
CI,ABLA,3,0.98,11,12,60.3,74,16,,,,
CI,ABLA,4,0.92,11,19,87.0,85,13,,,,
EC,ABLA,1,1.00,11,2.6,16.1,53.7,7,,,,
EC,ABLA,2,1.00,11,7.1,44.2,56.3,19,,,,
EC,ABLA,3,0.91,11,12.0,70.4,57.4,30,,,,
EC,ABLA,4,0.88,11,17.1,84.0,55.7,37,,,,
EC,ABLA,5,0.49,11,24.6,102.3,62.2,39,,,,
EC,ABLA,6,0.89,11,32.2,94.5,57.8,40,,,,
EM,ABLA,1,1.00,11,3,21.0,69,7,,,,
EM,ABLA,2,1.00,11,8,32.9,64,12,,,,
EM,ABLA,3,0.89,11,10,78.0,60,31,,,,
EM,ABLA,4,0.97,11,17,62.0,70,19,,,,
IE,ABLA,1,1.00,11,2,15.6,61,6,,,,
IE,ABLA,2,1.00,11,7,47.6,63,18,,,,
IE,ABLA,3,0.91,11,12,67.6,63,25,,,,
IE,ABLA,4,0.88,11,17,85.8,62,33,,,,
IE,ABLA,5,0.49,11,25,106.0,62,40,,,,
IE,ABLA,6,0.89,11,30,99.0,85,15,,,,
SO,ABLA,1,1.00,11,2.1,9.6,30.5,7,,,,
SO,ABLA,2,1.00,11,7.4,30.9,50.4,15,,,,
SO,ABLA,3,0.99,11,12.2,50.7,59.7,20,,,,
SO,ABLA,4,0.85,11,16.8,56.5,67.5,18,,,,
TT,ABLA,1,1.00,11,1,7.0,90,1,,,,
TT,ABLA,2,1.00,11,7,33.4,91,3,,,,
TT,ABLA,3,1.00,11,12,55.0,90,6,,,,
CA,ABMA,1,0.85,16,3.5,15.5,61.6,6,Abies magnifica,,red fir,
CA,ABMA,2,0.85,16,7.5,36.2,56.6,16,,,,
CA,ABMA,3,0.48,16,12.8,61.8,48.6,32,,,,
CA,ABMA,4,0.17,16,17.9,78.2,48.9,40,,,,
CA,ABMA,5,0.10,16,24.7,95.9,48.9,49,,,,
CA,ABMA,6,0.09,16,33.9,105.4,53.0,50,,,,
CA,ABMA,7,0.09,16,41.0,166.0,35.0,108,,,,
NC,ABMA,5,0.09,16,23.1,120.9,36.4,77,,,,
SO,ABMA,1,0.85,16,1.7,8.5,87.6,1,,,,
SO,ABMA,2,0.56,16,7.1,32.3,67.3,11,,,,
SO,ABMA,3,0.39,16,12.6,53.2,63.6,19,,,,
SO,ABMA,4,0.18,16,19.3,69.3,61.5,27,,,,
SO,ABMA,5,0.09,16,24.6,80.7,57.7,34,,,,
SO,ABMA,6,0.09,16,33.3,103.5,42.5,60,,,,
SO,ABMA,7,0.85,16,40.7,123.0,45.0,68,,,,
WS,ABMA,1,0.85,16,2.5,11.5,52.7,5,,,,
WS,ABMA,2,0.85,16,7.2,32.3,56.1,14,,,,
WS,ABMA,3,0.52,16,12.2,54.8,51.0,27,,,,
WS,ABMA,4,0.21,16,17.9,75.3,53.6,35,,,,
WS,ABMA,5,0.10,16,25.5,99.5,47.4,52,,,,
WS,ABMA,6,0.09,16,33.7,118.7,47.7,62,,,,
WS,ABMA,7,0.09,16,44.5,145.9,45.3,80,,,,
CA,ABMAS,1,0.85,16,2.0,9.7,47.9,5,Abies magnifica,,Shasta red fir,
CA,ABMAS,2,0.85,16,7.3,32.4,46.8,17,,,,
CA,ABMAS,3,0.50,16,11.6,52.5,38.6,32,,,,
CA,ABMAS,4,0.23,16,17.1,71.7,43.0,41,,,,
CA,ABMAS,5,0.21,16,24.3,81.5,67.8,26,,,,
CA,ABMAS,6,0.11,16,33.2,109.8,66.5,37,,,,
NC,ABMAS,5,0.09,16,27.6,89.5,35.0,58,,,,
NC,ABMAS,6,0.09,16,38.1,111.0,45.0,61,,,,
SO,ABMAS,1,0.85,16,2.8,14.0,48.8,7,,,,
SO,ABMAS,2,0.52,16,7.3,35.3,58.7,15,,,,
SO,ABMAS,3,0.21,16,11.9,57.7,59.9,23,,,,
SO,ABMAS,4,0.11,16,17.0,78.2,55.8,35,,,,
SO,ABMAS,5,0.09,16,25.2,98.9,55.1,44,,,,
SO,ABMAS,6,0.09,16,34.9,121.2,50.8,60,,,,
SO,ABMAS,7,1.00,16,44.9,132.6,59.0,54,,,,
WC,ABMAS,1,0.85,16,2.9,11.3,18.8,9,,,,
WC,ABMAS,2,0.85,16,7.5,38.1,30.6,26,,,,
WC,ABMAS,3,0.49,16,11.2,51.7,32.7,35,,,,
WC,ABMAS,5,0.12,16,24.1,84.5,46.5,45,,,,
WC,ABMAS,6,0.09,16,34.1,122.3,45.9,66,,,,
BM,ABNO,3,0.99,1,11.1,47.0,82.0,8,Abies nobilis,,,
CA,ABNO,4,0.33,1,18.7,97.0,45.0,53,,,,
CA,ABNO,5,0.09,1,25.0,108.4,43.6,61,,,,
CA,ABNO,6,0.05,1,32.3,120.0,32.5,81,,,,
EC,ABNO,1,1.00,1,2.6,14.6,69.8,4,,,,
EC,ABNO,2,0.99,1,7.9,52.7,45.5,29,,,,
EC,ABNO,3,0.74,1,12.4,72.4,47.2,38,,,,
EC,ABNO,4,0.16,1,19.1,106.1,21.5,83,,,,
EC,ABNO,5,0.08,1,26.4,120.9,30.4,84,,,,
EC,ABNO,6,0.05,1,33.4,133.9,36.6,85,,,,
EC,ABNO,7,0.03,1,42.6,149.5,30.0,105,,,,
IE,ABNO,5,0.74,1,24,72.0,65,25,,,,
NC,ABNO,2,1.00,1,6.7,20.5,57.5,9,,,,
NC,ABNO,3,0.96,1,12.2,63.0,70.0,19,,,,
SO,ABNO,1,1.00,1,2.2,10.4,38.8,6,,,,
SO,ABNO,2,0.99,1,6.7,38.3,42.5,22,,,,
SO,ABNO,3,0.98,1,10.6,53.0,50.0,27,,,,
SO,ABNO,5,0.49,1,26.8,90.0,70.0,27,,,,
BM,ACMA3,1,1.00,1,2.4,13.6,47.4,7,Acer macrophyllum,,,
BM,ACMA3,2,1.00,1,6.4,23.5,59.3,10,,,,
BM,ACMA3,3,1.00,1,13.4,33.0,75.0,8,,,,
CA,ACMA3,1,1.00,1,3.2,29.1,40.8,17,,,,
CA,ACMA3,2,1.00,1,7.1,45.9,37.1,29,,,,
CA,ACMA3,3,0.92,1,12.1,58.6,41.1,34,,,,
CA,ACMA3,4,0.91,1,16.7,64.2,47.9,33,,,,
CA,ACMA3,5,0.67,1,23.7,66.5,37.8,41,,,,
CA,ACMA3,6,0.32,1,34.7,88.7,36.7,56,,,,
CA,ACMA3,7,0.12,1,41.5,126.0,37.5,79,,,,
EC,ACMA3,1,1.00,1,2.5,15.6,45.4,9,,,,
EC,ACMA3,2,1.00,1,6.9,27.9,51.9,13,,,,
EC,ACMA3,3,1.00,1,11.8,39.6,59.4,16,,,,
EC,ACMA3,4,0.99,1,17.3,41.3,55.8,18,,,,
EC,ACMA3,5,0.99,1,24.2,43.3,60.0,17,,,,
IE,ACMA3,1,1.00,1,3,18.7,45,10,,,,
IE,ACMA3,2,1.00,1,7,29.8,45,16,,,,
IE,ACMA3,3,1.00,1,12,32.0,45,17,,,,
IE,ACMA3,4,0.99,1,18,34.0,80,7,,,,
NC,ACMA3,1,1.00,1,2.8,28.4,35.0,18,,,,
NC,ACMA3,2,1.00,1,7.2,45.8,36.3,29,,,,
NC,ACMA3,3,0.92,1,11.9,60.0,38.9,37,,,,
NC,ACMA3,4,0.71,1,17.6,74.5,42.5,43,,,,
NC,ACMA3,5,0.69,1,25.0,74.3,47.0,39,,,,
NC,ACMA3,6,0.53,1,32.5,79.0,37.0,50,,,,
NC,ACMA3,7,0.69,1,50.7,73.0,70.0,22,,,,
SO,ACMA3,1,1.00,1,3.2,35.0,72.0,10,,,,
SO,ACMA3,2,1.00,1,7.8,20.0,90.0,2,,,,
SO,ACMA3,3,1.00,1,12.2,21.0,90.0,2,,,,
TT,ACMA3,1,1.00,1,2,10.8,56,5,,,,
TT,ACMA3,2,1.00,1,6,24.5,71,7,,,,
TT,ACMA3,3,1.00,1,13,31.2,84,5,,,,
WC,ACMA3,1,1.00,1,1.8,25.0,37.5,16,,,,
WC,ACMA3,2,1.00,1,7.7,51.7,46.7,28,,,,
WC,ACMA3,3,0.76,1,11.8,50.0,20.0,40,,,,
WS,ACMA3,1,1.00,1,2.3,28.2,42.6,16,,,,
WS,ACMA3,2,1.00,1,6.9,42.7,41.4,25,,,,
WS,ACMA3,3,0.97,1,11.6,56.8,41.7,33,,,,
WS,ACMA3,4,0.92,1,18.9,62.7,46.7,33,,,,
CA,AEGL,1,1.00,1,2.4,20.0,50.0,10,,,,
CA,AEGL,2,1.00,1,6.5,27.5,27.5,20,,,,
NC,AEGL,2,1.00,1,7.2,40.4,46.5,22,,,,
WS,AEGL,1,1.00,1,2.2,18.0,34.0,12,,,,
WS,AEGL,2,1.00,1,6.6,25.0,51.5,12,,,,
CA,AIAL,2,1.00,1,6.0,30.0,35.0,20,,,,
CA,ALRH2,1,1.00,1,1.4,12.0,20.0,10,Alnus rhombifolia,,,
CA,ALRH2,2,0.99,1,7.9,46.1,52.7,22,,,,
CA,ALRH2,3,0.70,1,12.1,60.9,41.9,35,,,,
CA,ALRH2,4,0.34,1,18.5,70.2,42.4,40,,,,
CA,ALRH2,5,0.16,1,27.4,78.0,43.3,44,,,,
CA,ALRH2,6,0.43,1,34.0,83.0,29.5,59,,,,
EC,ALRH2,1,1.00,1,2.9,27.6,23.2,21,,,,
EC,ALRH2,2,0.99,1,6.9,46.2,35.7,30,,,,
EC,ALRH2,3,0.80,1,11.8,53.0,33.0,36,,,,
IE,ALRH2,2,1.00,1,6,37.2,27,27,,,,
NC,ALRH2,2,0.99,1,7.6,48.2,42.2,28,,,,
NC,ALRH2,3,0.63,1,12.1,65.1,42.4,38,,,,
NC,ALRH2,4,0.10,1,17.5,83.0,33.8,55,,,,
NC,ALRH2,5,0.33,1,26.5,85.0,40.0,51,,,,
NC,ALRH2,6,0.06,1,33.9,71.0,35.0,46,,,,
WS,ALRH2,1,1.00,1,1.0,15.0,30.0,11,,,,
WS,ALRH2,2,0.99,1,6.9,38.3,33.0,26,,,,
WS,ALRH2,3,0.67,1,11.9,56.9,30.6,39,,,,
WS,ALRH2,4,0.52,1,17.6,69.8,38.8,43,,,,
WS,ALRH2,5,0.04,1,28.5,87.8,30.0,61,,,,
WS,ALRH2,6,0.11,1,37.4,85.3,36.3,54,,,,
BM,ALRU2,1,1.00,1,1.6,14.6,51.7,7,Alnus rubra,,,
BM,ALRU2,2,1.00,1,8.6,50.3,42.9,29,,,,
BM,ALRU2,3,0.99,1,13.8,55.0,58.0,23,,,,
CA,ALRU2,1,1.00,1,3.7,22.0,50.0,11,,,,
CA,ALRU2,2,0.98,1,7.5,51.4,32.3,35,,,,
CA,ALRU2,3,0.78,1,12.1,68.7,48.3,35,,,,
CA,ALRU2,4,0.70,1,17.9,79.2,49.7,40,,,,
CA,ALRU2,5,0.50,1,25.7,85.0,42.5,49,,,,
EC,ALRU2,1,1.00,1,3.3,25.9,43.6,15,,,,
EC,ALRU2,2,1.00,1,7.0,45.0,38.4,28,,,,
EC,ALRU2,3,0.93,1,11.6,59.5,35.8,38,,,,
EC,ALRU2,4,0.88,1,18.5,58.0,42.5,33,,,,
IE,ALRU2,1,1.00,1,2,19.3,50,10,,,,
IE,ALRU2,2,1.00,1,7,47.6,43,27,,,,
IE,ALRU2,4,0.69,1,21,87.0,55,39,,,,
NC,ALRU2,1,1.00,1,2.0,23.5,37.5,15,,,,
NC,ALRU2,2,0.99,1,8.2,53.7,35.5,35,,,,
NC,ALRU2,3,0.89,1,11.8,67.3,31.2,46,,,,
NC,ALRU2,4,0.70,1,17.0,73.6,40.7,44,,,,
NC,ALRU2,5,0.65,1,24.3,77.0,46.3,41,,,,
WC,ALRU2,1,1.00,1,5.0,31.0,60.0,12,,,,
WC,ALRU2,2,1.00,1,6.2,47.6,52.9,22,,,,
WC,ALRU2,3,1.00,1,10.5,41.0,75.0,10,,,,
WS,ALRU2,5,0.55,1,23.9,90.0,45.0,50,,,,
WS,ALRU2,6,0.24,1,31.4,95.0,35.0,62,,,,
CA,ARME,1,1.00,1,3.2,21.7,34.7,14,Arbutus menziesii,,,
CA,ARME,2,0.99,1,7.3,38.1,33.0,26,,,,
CA,ARME,3,0.81,1,11.9,50.2,34.6,33,,,,
CA,ARME,4,0.54,1,17.3,57.5,34.8,37,,,,
CA,ARME,5,0.45,1,25.0,67.9,39.2,41,,,,
CA,ARME,6,0.45,1,32.5,70.0,39.1,43,,,,
CA,ARME,7,0.42,1,43.5,55.5,37.5,35,,,,
NC,ARME,1,1.00,1,3.1,20.6,35.6,13,,,,
NC,ARME,2,0.99,1,7.3,38.7,30.9,27,,,,
NC,ARME,3,0.98,1,12.2,53.2,31.7,36,,,,
NC,ARME,4,0.82,1,17.0,64.2,32.7,43,,,,
NC,ARME,5,0.48,1,24.7,71.9,39.4,44,,,,
NC,ARME,6,0.13,1,34.2,84.7,42.0,49,,,,
NC,ARME,7,0.10,1,44.2,90.7,45.6,49,,,,
WC,ARME,1,1.00,1,3.4,20.6,40.7,12,,,,
WC,ARME,2,0.99,1,7.1,36.2,35.0,24,,,,
WC,ARME,3,0.98,1,11.8,43.9,37.2,28,,,,
WC,ARME,4,0.81,1,17.7,53.8,37.9,33,,,,
WC,ARME,5,0.48,1,22.2,70.0,30.0,49,,,,
WS,ARME,1,1.00,1,2.7,20.3,37.1,13,,,,
WS,ARME,2,0.99,1,6.9,41.4,35.2,27,,,,
WS,ARME,3,0.84,1,12.6,56.1,41.8,33,,,,
WS,ARME,4,0.53,1,17.1,69.5,39.5,42,,,,
WS,ARME,5,0.26,1,25.4,82.0,36.1,52,,,,
WS,ARME,6,0.08,1,34.1,89.6,37.1,56,,,,
WS,ARME,7,0.02,1,50.5,109.0,30.0,76,,,,
BM,BAPAP,2,1.00,1,7.1,42.3,33.3,28,Betula papyrifera,,,
BM,BAPAP,3,1.00,1,10.3,47.0,55.0,21,,,,
EC,BAPAP,1,1.00,1,2.3,27.6,46.1,15,,,,
EC,BAPAP,2,1.00,1,7.1,51.8,35.5,33,,,,
EC,BAPAP,3,0.95,1,11.5,63.4,55.0,29,,,,
EC,BAPAP,4,0.66,1,17.8,85.0,50.0,43,,,,
IE,BAPAP,1,1.00,1,3,32.1,31,22,,,,
IE,BAPAP,2,0.99,1,7,50.9,35,33,,,,
IE,BAPAP,3,0.84,1,11,65.9,37,41,,,,
IE,BAPAP,4,0.92,1,17,62.3,52,30,,,,
EC,BETSPP,1,1.00,1,1.9,20.3,63.8,7,Betula species,,,
EC,BETSPP,2,1.00,1,6.9,46.7,35.3,30,,,,
IE,BETSPP,1,0.87,1,5,53.0,15,45,,,,
IE,BETSPP,2,1.00,1,7,49.1,33,33,,,,
IE,BETSPP,3,0.98,1,11,56.0,45,31,,,,
CA,CADE27,1,0.95,12,2.7,13.5,43.6,8,Incense cedar,,,
CA,CADE27,2,0.95,12,7.2,30.8,47.7,16,,,,
CA,CADE27,3,0.80,12,12.2,47.4,51.5,23,,,,
CA,CADE27,4,0.48,12,17.7,62.5,49.3,32,,,,
CA,CADE27,5,0.02,12,25.6,81.6,51.0,40,,,,
CA,CADE27,6,0.01,12,33.7,99.7,47.8,52,,,,
CA,CADE27,7,0.01,12,47.7,118.8,43.0,68,,,,
EC,CADE27,1,0.95,12,2.3,12.3,46.9,7,,,,
EC,CADE27,2,0.95,12,6.9,28.7,63.5,10,,,,
EC,CADE27,3,0.76,12,12.3,49.3,85.0,7,,,,
EC,CADE27,5,0.51,12,21.9,54.6,47.6,29,,,,
EC,CADE27,6,0.02,12,36.8,104.3,47.5,55,,,,
NC,CADE27,1,0.95,12,3.0,15.2,36.2,10,,,,
NC,CADE27,2,0.95,12,7.3,28.8,42.5,17,,,,
NC,CADE27,3,0.80,12,11.8,42.4,39.1,26,,,,
NC,CADE27,4,0.48,12,16.9,63.0,43.6,36,,,,
NC,CADE27,5,0.03,12,26.4,83.5,46.2,45,,,,
NC,CADE27,6,0.01,12,34.5,97.8,42.1,57,,,,
NC,CADE27,7,0.01,12,51.4,128.3,38.2,79,,,,
SO,CADE27,1,0.95,12,2.8,13.2,50.2,7,,,,
SO,CADE27,2,0.95,12,7.1,30.0,58.3,13,,,,
SO,CADE27,3,0.95,12,11.7,42.5,62.2,16,,,,
SO,CADE27,4,0.50,12,17.4,61.3,66.9,20,,,,
SO,CADE27,5,0.11,12,26.5,77.4,57.5,33,,,,
SO,CADE27,6,0.03,12,35.0,91.7,58.0,38,,,,
SO,CADE27,7,0.03,12,44.8,96.7,65.1,34,,,,
WC,CADE27,1,0.95,12,2.8,15.5,37.0,10,,,,
WC,CADE27,2,0.95,12,6.8,31.3,46.9,17,,,,
WC,CADE27,3,0.62,12,12.2,49.9,43.9,28,,,,
WC,CADE27,4,0.51,12,15.9,56.5,57.5,24,,,,
WC,CADE27,5,0.02,12,26.8,77.0,30.0,54,,,,
WC,CADE27,6,0.01,12,32.5,111.0,48.0,58,,,,
WC,CADE27,7,0.01,12,45.6,140.8,52.5,67,,,,
WS,CADE27,1,0.95,12,2.9,13.8,43.0,8,,,,
WS,CADE27,2,0.95,12,7.3,29.1,50.2,14,,,,
WS,CADE27,3,0.77,12,12.2,46.3,47.6,24,,,,
WS,CADE27,4,0.49,12,17.6,62.1,50.1,31,,,,
WS,CADE27,5,0.03,12,25.8,86.4,52.0,41,,,,
WS,CADE27,6,0.02,12,34.0,102.0,49.0,52,,,,
WS,CADE27,7,0.01,12,47.5,120.2,46.1,65,,,,
CA,CHCHM,1,1.00,1,2.7,18.3,46.3,10,Chrysolepis chrysophylla,,,
CA,CHCHM,2,1.00,1,7.1,37.2,38.8,23,,,,
CA,CHCHM,3,0.96,1,11.9,53.0,43.8,30,,,,
CA,CHCHM,4,0.79,1,16.6,62.7,41.8,37,,,,
CA,CHCHM,5,0.70,1,23.4,52.8,52.5,25,,,,
CA,CHCHM,6,0.59,1,30.7,64.0,40.0,38,,,,
CA,CHCHM,7,0.42,1,41.5,68.0,60.0,27,,,,
EC,CHCHM,1,1.00,1,1.9,13.7,47.5,7,,,,
EC,CHCHM,2,1.00,1,5.3,24.0,65.0,8,,,,
NC,CHCHM,1,1.00,1,2.6,16.3,38.1,10,,,,
NC,CHCHM,2,1.00,1,7.1,39.5,35.1,26,,,,
NC,CHCHM,3,0.91,1,11.9,56.5,40.7,33,,,,
NC,CHCHM,4,0.56,1,17.9,72.3,40.3,43,,,,
NC,CHCHM,5,0.43,1,26.4,78.1,43.8,44,,,,
NC,CHCHM,6,0.12,1,31.2,90.7,35.8,58,,,,
SO,CHCHM,1,1.00,1,1.5,10.3,38.9,6,,,,
WC,CHCHM,1,1.00,1,2.7,20.4,25.0,15,,,,
WC,CHCHM,2,1.00,1,7.1,36.3,28.2,26,,,,
WC,CHCHM,3,0.88,1,11.7,52.8,31.3,36,,,,
WS,CHCHM,2,0.86,1,6.0,34.0,66.7,11,,,,
CA,CHLA,1,1.00,1,1.9,10.3,27.3,7,,,,
CA,CHLA,2,0.99,1,7.1,32.7,61.4,13,,,,
CA,CHLA,3,0.92,1,12.5,56.5,66.9,19,,,,
CA,CHLA,4,0.50,1,18.0,70.6,48.0,37,,,,
CA,CHLA,5,0.24,1,24.3,80.2,41.5,47,,,,
CA,CHLA,6,0.02,1,34.4,116.7,43.5,66,,,,
CA,CHLA,7,0.01,1,46.0,134.8,52.0,65,,,,
NC,CHLA,1,1.00,1,2.9,17.2,44.7,10,,,,
NC,CHLA,2,0.99,1,6.4,31.0,48.3,16,,,,
NC,CHLA,3,0.88,1,12.7,57.5,55.8,25,,,,
